ATA Main,ATA Sub,ATA,ATA Description,LRU,DateAndTime,MDC Message,Status,Flight Phase,Type,Intermittent,Equation ID,Source,Diagnostic Data,Data Used to Determine Msg,ID,Flight#
38,10,38-10,POTABLE WATER,FWD VLV HTR,11/30/2020 23:59,LOW CURRENT/OPEN,FAILED/WIRING,,Fault,,B1-006837,AC102018.CFM,,,4028670876189a4701761b9d4f964d26,
49,0,49-00,APU,APU ECU,11/30/2020 23:59,NO ECU-1 BUS TO DCU,FAILED/WIRING,TAXI,Fault,0,B1-005970,AC102019.FMH,"271 APU ECU 202001
350 APU ECU 000001
351 APU ECU 000001
352 APU ECU 000001
353 APU ECU 000001","273 AIRCRAFT DISCR L 008781
273 AIRCRAFT DISCR R 008782
351 DCU 1 000001
351 DCU 2 000002
351 DCU 3 ------",4028670876189a4701761ba78e024fe8,9900
21,61,21-61,TEMPERATURE CONTROL,GALLEY FAN,11/30/2020 23:59,LOW FAN SPEED,FAILED/WIRING,AIR,Service,0,B1-006902,AC102421.SMH,,"350A ACSC 2 100002
350B ACSC 2 100003",40286708765b8d1801765bf51a28048e,3110
22,12,22-12,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 23:59,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006952,AC102423.SMH,"350 IAPS IOC 1A 600001
351 IAPS IOC 1A 600001
352 IAPS IOC 1A 627E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 600001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003",,4028670876189a4701761c025dec5a37,3110
38,10,38-10,POTABLE WATER,RELIEF VLV HTR,11/30/2020 23:59,LOW CURRENT/OPEN,FAILED/WIRING,GROUND,Fault,1,B1-007763,AC15092A.FMH,,352 PWS CNTRL UNIT 004001,40286708766b002f01766be566f40d17,3536
33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 23:59,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC152034.CFM,,,4028670876189a4701761b9d5ec74d35,
30,0,30-00,ICE & RAIN PROTECTION,L COWL A/ICE SOV,11/30/2020 23:58,SOV SW POSITION MISMATCH,FAILED/WIRING,,Fault,,B1-039268,AC101665.CFM,,,4028670876189a4701761b9d48504d1b,
22,12,22-12,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 23:58,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-007026,AC154690.SMH,"350 IAPS IOC 2A 000202
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 625E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 000202
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600193",402867087651405b0176519d7a1703e3,3791
30,0,30-00,ICE & RAIN PROTECTION,R COWL A/ICE SOV,11/30/2020 23:58,SOV SW POSITION MISMATCH,FAILED/WIRING,,Fault,,B1-039271,AC101665.CFM,,,4028670876189a4701761b9d48604d1c,
78,31,78-31,THRUST REVERSERS,L TR F/BK ACT 3,11/30/2020 23:58,TR LVDT ACT 3&4 DISAGREE,FAILED/WIRING,TAXI,Fault,0,B1-113037,AC102019.FMH,,"352A L FADEC 100003
352B L FADEC 100002",4028670876189a4701761ba78e114fe9,9900
33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 23:58,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC10295A.CFM,,,4028670876189a4701761b9d58d54d30,
22,11,22-11,AUTOMATIC FLT CONTROL,FCC 1,11/30/2020 23:58,NO L-AHC-1 BUS INPUT,FAILED/WIRING,,Fault,,B1-246748,AC154531.CFM,"071 FCC 1 000001
351 FCC 1 ------","071 FCC 1 000001
350 AHC 1 000001
350 AHC 1 000001
350 AHC 1 000001
270 AHC 4000 L 000029",4028670876189a4701761b9d66ec4d43,
22,12,22-12,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 23:58,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-007061,AC154690.SMH,"350 IAPS IOC 2B 000200
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 624E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 000200
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600193",402867087651405b0176519d7a1703e4,3791
31,41,31-41,Engine Indication and Crew Alerting System (EICAS),DCU 1,11/30/2020 23:57,FDR FAILURE,FAILED,,Fault,,B1-006250,AC10159R.CFM,,,4028670876189a4701761b9d45e24d17,
71,0,71-00,POWER PLANT,R AIR START SOV,11/30/2020 23:57,NO OPEN INDICATION,FAILED/WIRING,GROUND,Fault,1,B1-006071,AC15455V.FMH,,"354A R FADEC 080001
354B R FADEC 080000",40286708765b8d1801765bf6303a0ecb,3857
22,12,22-12,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 23:56,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-006952,AC15452J.CSM,"350 IAPS IOC 1A 600001
351 IAPS IOC 1A 020001
352 IAPS IOC 1A 625E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 002001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 600001
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 6001B3",4028670876189a4701761b9d64474d3d,
22,12,22-12,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 23:56,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-006987,AC15452J.CSM,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 020003
352 IAPS IOC 1B 627E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 002001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 6001A3",4028670876189a4701761b9d645a4d3e,
